longitude,latitude,NAME_2,NAME_3,elevasi_m,slope_derajat,source
120.91340351749997,-2.4359361068082332,Luwu Timur,Angkona,74,11.18409538269043,S2_scar
121.11662105206982,-2.7746905913094815,Luwu Timur,Malili,523,27.353487014770508,S2_scar
120.71269877633765,-2.3243647142902066,Luwu Timur,Mangkutana,1387,26.579010009765625,S2_scar
121.11973252392728,-2.348815092121373,Luwu Timur,Nuha,917,23.146778106689453,S2_scar
120.56403802690258,-2.377310062121444,Luwu Timur,Tomoni,2357,21.3150634765625,S2_scar
121.060706429137,-2.3972012585413425,Luwu Timur,Wasuponda,720,18.9999942779541,S2_scar
120.62309084246658,-2.167754926187042,Luwu Timur,Mangkutana,1267,22.855152130126953,S2_scar
121.15049302883693,-2.7256050974898614,Luwu Timur,Malili,431,28.948888778686523,S2_scar
120.83320388384173,-2.28447097849537,Luwu Timur,Mangkutana,1461,11.149256706237793,S2_scar
121.0874,-2.7571,Luwu Timur,Malili,245,13.537698745727539,NASA_GLC
